C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material,床型,H2,CO,CO2,CH4,GY
51.1,5.3,42.7,9.5,2.652,0.3,901,0.8,Silica sand,atmospheric fluidized bed,45.96,30.2,17.67,6.17,
52.8,6.4,40.4,10.6,0.783,0.3,750,0.8,Silica sand,atmospheric fluidized bed,24.14,43.8,16.76,15.31,
52.8,6.4,40.4,10.6,0.783,0.3,750,0.8,Silica sand,atmospheric fluidized bed,23.42,45.17,16.32,15.1,
52.8,6.4,40.4,10.6,0.783,0.3,850,0.8,Silica sand,atmospheric fluidized bed,36.48,31.64,20.1,11.78,
52.8,6.4,40.4,10.6,0.783,0.3,886,0.8,Silica sand,atmospheric fluidized bed,42.9,35.01,13.15,8.94,
51.26,5.54,42.29,8,0.5,0.3,650,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",46.95,15.11,32.63,5.32,
51.26,5.54,42.29,8,0.5,0.3,700,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",49.67,12.37,33.04,4.92,
51.26,5.54,42.29,8,0.5,0.3,800,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",50.54,12.38,32.76,4.33,
51.26,5.54,42.29,8,0.5,0.3,850,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",52.55,14.84,29.7,2.9,
46.67,5.48,45.82,10.4,7.9,0.36,740,0,Silica sand,bubbling fluidized bed,29.48,33.19,23.95,13.39,
46.67,5.48,45.82,10.4,7.9,0.36,700,0,Silica sand,bubbling fluidized bed,27.19,33.59,25.49,13.73,
49.7,5.64,44.21,10.3,1.2,0.36,700,0,Silica sand,bubbling fluidized bed,21.22,27.34,32.01,19.42,
48.19,5.56,45.01,10.35,4.55,0.36,740,0,Silica sand,bubbling fluidized bed,22.63,32.46,27.91,16.99,
48.19,5.56,45.01,10.35,4.55,0.36,700,0,Silica sand,bubbling fluidized bed,21.93,32.7,30.08,15.29,
49.7,5.64,44.21,10.3,1.2,0.36,680,0,Silica sand,bubbling fluidized bed,20.86,27.32,35.2,16.62,
49.7,5.64,44.21,10.3,1.2,0.36,720,0,Silica sand,bubbling fluidized bed,20.42,27,30.9,21.68,
49.7,5.64,44.21,10.3,1.2,0.36,740,0,Silica sand,bubbling fluidized bed,20.38,26.85,28.89,23.88,
46.67,5.48,45.82,10.4,7.9,0.36,680,0,Silica sand,bubbling fluidized bed,26.03,35.07,25.19,13.71,
46.67,5.48,45.82,10.4,7.9,0.36,700,0,Silica sand,bubbling fluidized bed,27.13,33.64,25.49,13.74,
46.67,5.48,45.82,10.4,7.9,0.36,740,0,Silica sand,bubbling fluidized bed,29.49,33.22,23.97,13.32,
48.19,5.56,45.01,10.35,4.55,0.36,680,0,Silica sand,bubbling fluidized bed,21.71,32.37,30.91,15.02,
48.19,5.56,45.01,10.35,4.55,0.36,700,0,Silica sand,bubbling fluidized bed,21.93,32.6,30.04,15.44,
48.19,5.56,45.01,10.35,4.55,0.36,720,0,Silica sand,bubbling fluidized bed,22.17,32.49,29.19,16.15,
48.19,5.56,45.01,10.35,4.55,0.4,700,0,Silica sand,bubbling fluidized bed,19.27,33.16,34.54,13.04,
48.19,5.56,45.01,10.35,4.55,0.4,720,0,Silica sand,bubbling fluidized bed,19.83,32.54,33.49,14.15,
48.19,5.56,45.01,10.35,4.55,0.4,740,0,Silica sand,bubbling fluidized bed,20.59,32.35,31.56,15.5,
48.19,5.56,45.01,10.35,4.55,0.4,760,0,Silica sand,bubbling fluidized bed,21.46,31.94,30.5,16.1,
49.19,6.56,46.01,11.35,5.55,0.36,760,0,Silica sand,bubbling fluidized bed,22.8,31.6,28.87,16.73,
50.19,7.56,47.01,12.35,6.55,0.36,740,0,Silica sand,bubbling fluidized bed,23.54,32.36,27.35,16.74,
51.19,8.56,48.01,13.35,7.55,0.36,720,0,Silica sand,bubbling fluidized bed,22.59,32.63,27.74,17.05,
52.19,9.56,49.01,14.35,8.55,0.36,700,0,Silica sand,bubbling fluidized bed,22.13,32.52,29.16,16.18,
54.19,11.56,51.01,16.35,10.55,0.38,740,0,Silica sand,bubbling fluidized bed,22.75,32.13,27.98,17.14,
55.19,12.56,52.01,17.35,11.55,0.38,720,0,Silica sand,bubbling fluidized bed,21.39,32.86,29.32,16.43,
56.19,13.56,53.01,18.35,12.55,0.38,700,0,Silica sand,bubbling fluidized bed,20.71,33.07,30.71,15.52,
57.19,14.56,54.01,19.35,13.55,0.38,760,0,Silica sand,bubbling fluidized bed,19.88,33.84,32.59,13.69,
59.19,16.56,56.01,21.35,15.55,0.4,720,0,Silica sand,bubbling fluidized bed,20.55,32.64,31.52,15.29,
60.19,17.56,57.01,22.35,16.55,0.4,700,0,Silica sand,bubbling fluidized bed,19.91,33.01,33.55,13.53,
61.19,18.56,58.01,23.35,17.55,0.4,760,0,Silica sand,bubbling fluidized bed,19.21,33.39,34.64,12.76,
62.19,19.56,59.01,24.35,18.55,0.42,740,0,Silica sand,bubbling fluidized bed,20.22,32.15,32.8,14.83,
64.19,21.56,61.01,26.35,20.55,0.42,700,0,Silica sand,bubbling fluidized bed,19.32,32.75,35.15,12.78,
65.19,22.56,62.01,27.35,21.55,0.42,760,0,Silica sand,bubbling fluidized bed,18.39,33.06,36.16,12.39,
65.25,9.1,20.74,3.82,4.23,0.2,600,0,310S,continuous fluidized bed,9.81,15.21,58.95,16.03,
65.25,9.1,20.74,3.82,4.23,0.2,700,0,310S,continuous fluidized bed,12.92,42.06,29.46,15.56,
65.25,9.1,20.74,3.82,4.23,0.2,900,0,310S,continuous fluidized bed,14.48,47.92,15.14,22.46,
65.25,9.1,20.74,3.82,4.23,0.3,600,0,310S,continuous fluidized bed,7.69,20.09,63.9,8.31,
65.25,9.1,20.74,3.82,4.23,0.3,700,0,310S,continuous fluidized bed,10.68,36.03,40.58,12.71,
65.25,9.1,20.74,3.82,4.23,0.3,800,0,310S,continuous fluidized bed,12.64,41.5,30.11,15.75,
65.25,9.1,20.74,3.82,4.23,0.4,600,0,310S,continuous fluidized bed,5.79,20.56,67.01,6.64,
65.25,9.1,20.74,3.82,4.23,0.4,700,0,310S,continuous fluidized bed,8.98,31.9,48.2,10.93,
65.25,9.1,20.74,3.82,4.23,0.4,800,0,310S,continuous fluidized bed,11.29,38.98,36.31,13.43,
65.25,9.1,20.74,3.82,4.23,0.4,900,0,310S,continuous fluidized bed,10.12,47.06,26.88,15.94,
65.25,9.1,20.74,3.82,4.23,0.5,700,0,310S,continuous fluidized bed,7.18,31.91,52.34,8.57,
65.25,9.1,20.74,3.82,4.23,0.5,800,0,310S,continuous fluidized bed,9.08,38.09,41.89,10.94,
65.25,9.1,20.74,3.82,4.23,0.5,900,0,310S,continuous fluidized bed,8.46,47.89,30.6,13.05,
51.6,6.2,40.4,22,0.7,0.3,740,0,Silica sand,fluidized bed,17.5,21.5625,56.5625,4.375,
51.8,6.2,40.6,10,0.4,0.3,815,0,Silica sand,fluidized bed,9.493670886,30.37974684,54.11392405,6.012658228,
51.8,6.2,40.6,8.8,0.4,0.3,772,0,Silica sand,fluidized bed,10.49868766,38.58267717,43.30708661,7.611548556,
51.8,6.2,40.6,9.2,0.4,0.3,787,0,Silica sand,fluidized bed,10.91954023,36.20689655,45.11494253,7.75862069,
51.8,6.2,40.6,11.7,0.4,0.3,730,0,Silica sand,fluidized bed,13.58024691,40.98765432,37.03703704,8.395061728,
51.8,6.2,40.6,15,0.7,0.3,752,0,Silica sand,fluidized bed,9.915014164,37.96033994,44.19263456,7.932011331,
51.8,6.2,40.6,14.7,0.7,0.3,789,0,Silica sand,fluidized bed,11.2,38.93333333,41.86666667,8,
48.9,7.86,40.3,6.6,2.67,0.3,728,0,Silica sand,fluidized bed,11.69724771,45.64220183,33.25688073,9.403669725,
48.9,7.86,40.3,6.7,2.67,0.3,739,0,Silica sand,fluidized bed,23.62459547,13.26860841,52.75080906,10.35598706,
49.1,7.26,39.5,10.4,3.34,0.3,701,0,Silica sand,fluidized bed,11.71366594,46.4208243,31.88720174,9.978308026,
