C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material_Alumina,Bed_material_Ofite,Bed_material_Olivine,Bed_material_Silica_sand,床型_bubbling fluidized bed
54.22,3.27,39.3,21.8,2.05,0.45,829,0.0,0,0,0,1,1
52.16,7.14,50.89,8.9,0.47,0.19,800,0.0,0,0,0,1,1
80.12,6.66,49.21,6.25,1.95,0.2,800,0.0,0,0,0,1,1
78.16,8.35,59.42,15.01,1.65,0.22,800,0.0,0,0,0,1,1
46.0,6.0,37.3,8.1,9.63,0.3,800,0.0,0,0,1,0,1
46.0,6.0,37.3,8.1,9.63,0.3,750,0.0,0,0,0,1,1
46.0,6.0,37.3,8.1,9.63,0.3,800,0.0,0,0,0,1,1
48.6,6.63,39.3,8.2,2.39,0.3,750,0.0,0,0,1,0,1
48.6,6.63,39.3,8.2,2.39,0.3,750,0.0,0,0,0,1,1
48.6,6.63,39.3,8.2,2.39,0.3,800,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.15,650,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.15,700,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.2,650,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.2,700,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.2,800,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.2,850,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.25,700,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.25,800,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.15,700,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.18,700,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.15,750,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.18,750,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.21,750,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.15,800,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.18,800,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.15,850,0.0,0,0,0,1,1
50.0,5.7,44.1,22.0,0.85,0.26,800,0.0,0,0,0,1,1
45.89,5.64,47.18,8.5,1.1,0.38,791,0.0,0,0,0,1,1
50.54,7.08,41.11,8.0,0.55,0.22,800,2.7,0,0,0,1,1
49.47,5.79,41.94,6.28,0.71,0.19,727,0.28,0,1,0,0,1
49.47,5.79,41.94,6.28,0.71,0.33,804,0.22,0,1,0,0,1
46.4,5.33,32.13,8.66,14.21,0.43,870,0.0,0,1,0,0,1
45.1,5.3,26.13,22.1,17.55,0.3,700,0.0,0,0,0,1,1
42.68,3.3,31.72,9.95,21.68,0.35,800,0.5,0,0,0,1,1
46.26,6.68,25.34,6.4,20.78,0.26,849,0.0,0,0,1,0,1
46.26,6.68,25.34,6.4,20.78,0.33,932,0.0,0,0,1,0,1
47.2,6.2,39.7,7.8,4.88,0.25,1050,0.0,0,0,0,1,1
57.9,8.46,16.0,1.9,16.51,0.28,896,0.0,0,0,1,0,1
27.3,4.8,18.9,7.0,44.0,0.3,800,0.0,0,0,0,1,1
27.3,4.8,18.9,7.0,44.0,0.3,850,1.0,0,0,0,1,1
50.0,6.2,36.3,7.6,6.3,0.4,785,0.0,0,1,0,0,1
46.0,6.0,37.3,8.1,9.63,0.3,750,0.0,0,0,1,0,1
48.6,6.63,39.3,8.2,2.39,0.3,800,0.0,0,0,1,0,1
44.18,5.34,45.35,5.93,4.58,0.2,750,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.25,750,0.0,0,0,0,1,1
44.18,5.34,45.35,5.93,4.58,0.15,750,0.0,0,0,0,1,1
