CO
31.18
29.85
31.18
32.73
29.04
39.3
34.56
33.35
37.7
37.42
35.27
27.33
34.99
30.06
35.35
28.34
34.83
34.27
34.25
25.52
25.19
26.09
29.78
23.79
20.54
28.51
30.95
32.08
26.81
30.08
26.4
28.06
25.36
27.32
27.27
32.36
30.69
32.04
36.39
38.71
35.45
36.4
34.65
33.1
36.35
33.05
31.44
33.17
26.24
27.74
21.53
21.62
22.22
20.6
22.34
16.76
21.15
19.77
20.41
18.41
22.38
24.09
19.77
23.88
17.13
19.88
22.34
20.59
22.51
19.7
20.72
28.0
26.09
23.53
29.55
31.82
34.83
34.34
33.69
36.63
34.16
26.79
31.6
28.7
27.0
27.57
27.34
26.8
33.25
32.44
32.68
34.65
33.61
33.21
33.28
27.73
21.27
33.1
31.4
34.0
29.5
31.7
33.7
30.72
30.53
34.85
37.15
30.74
29.76
35.08
37.01
37.07
33.09
30.77
35.94
33.63
