GY
2.3
2.5
2.5
2.4
2.1
1.89
2.18
2.37
2.49
1.65
2.68
2.77
2.33
2.46
2.61
2.44
2.13
1.17
1.42
1.53
1.86
1.9
2.18
2.5
1.75
2.1
2.3
2.74
2.46
2.39
2.16
2.15
2.49
1.92
1.96
2.07
2.29
2.31
2.13
2.34
2.33
2.32
2.58
1.52
1.66
1.93
2.19
1.37
1.54
1.85
2.02
2.02
2.09
2.15
2.34
4.4
5.49
4.22
4.86
4.98
5.23
3.58
3.28
2.86
3.6
2.76
3.09
3.04
2.36
2.8
2.8
2.7
2.9
3.0
2.5
2.5
1.9
2.0
2.0
2.5
2.6
2.9
3.1
3.1
2.6
2.8
2.5
2.6
1.49
1.57
1.66
1.6
2.01
1.96
2.15
2.48
2.14
2.46
2.83
1.87
2.44
0.69
0.96
0.94
1.05
1.06
1.12
1.09
2.17
2.17
1.82
1.9
2.1
2.04
2.02
1.9
2.18
2.45
1.86
2.3
2.74
2.14
2.35
2.66
3.0
2.38
2.5
2.22
2.53
2.63
2.26
2.28
1.09
1.16
1.21
1.03
1.16
1.21
1.52
1.82
2.08
2.26
1.56
1.41
1.87
2.3
1.72
1.98
1.28
1.34
1.67
2.07
2.04
2.05
1.43
1.51
2.53
2.13
2.25
2.18
1.88
1.46
2.39
2.23
1.95
2.12
2.38
2.49
2.58
2.01
2.3
2.43
2.63
1.46
1.43
1.55
1.6
1.54
0.51
1.22
1.54
0.61
0.95
1.54
0.69
0.97
1.26
0.77
0.99
1.25
1.54
2.92
3.1
2.59
2.75
2.48
